input_sentence,annotations
Scrap the doctor appointment alarm at 5 in the morning,"{""entities"": [(38, 54, ""time""), (10, 28, ""label"")]}"
I'd like to hear Sweet Child O' Mine from Led Zeppelin,"{""entities"": [(17, 36, ""song""), (42, 54, ""artist"")]}"
Drop it to 0%,"{""entities"": [(11, 13, ""percent_of_total"")]}"
Schedule alarm meeting at at 5 PM,"{""entities"": [(26, 33, ""time""), (15, 22, ""label"")]}"
Don't wake me up for doctor appointment,"{""entities"": [(21, 39, ""label"")]}"
Start The Weeknd's All of Me,"{""entities"": [(19, 28, ""song""), (6, 16, ""artist"")]}"
Set volume to max,"{""entities"": [(14, 17, ""percent_of_total"")]}"
Schedule alarm yoga at 7:00 AM,"{""entities"": [(23, 30, ""time""), (15, 19, ""label"")]}"
Scrap the call with mom alarm at noon,"{""entities"": [(33, 37, ""time""), (10, 23, ""label"")]}"
I'd like to hear Uptown Funk from Eminem,"{""entities"": [(17, 28, ""song""), (34, 40, ""artist"")]}"
Remind me at tomorrow 5 AM for school,"{""entities"": [(13, 26, ""time""), (31, 37, ""label"")]}"
Turn off my project deadline reminder at 5 in the morning,"{""entities"": [(41, 57, ""time""), (12, 28, ""label"")]}"
Start Guns N' Roses's Bad Guy,"{""entities"": [(22, 29, ""song""), (6, 19, ""artist"")]}"
Turn it down to 50%,"{""entities"": [(16, 19, ""percent_of_total"")]}"
Schedule alarm doctor appointment at next Monday at 6,"{""entities"": [(37, 53, ""time""), (15, 33, ""label"")]}"
Turn off my call with mom reminder at noon,"{""entities"": [(38, 42, ""time""), (12, 25, ""label"")]}"
Queue up Let It Go,"{""entities"": [(9, 18, ""song"")]}"
Set an alarm for next Monday at 6 labeled morning workout,"{""entities"": [(17, 33, ""time""), (42, 57, ""label"")]}"
Turn off my meeting reminder at midnight,"{""entities"": [(32, 40, ""time""), (12, 19, ""label"")]}"
Play Rolling in the Deep by John Legend,"{""entities"": [(5, 24, ""song""), (28, 39, ""artist"")]}"
Increase the volume to 50%,"{""entities"": [(23, 26, ""percent_of_total"")]}"
Alarm for in 2 hours with note call with mom,"{""entities"": [(10, 20, ""time""), (31, 44, ""label"")]}"
No need for 10:15 PM alarm anymore,"{""entities"": [(12, 20, ""time"")]}"
Please play something from The Beatles,"{""entities"": [(27, 38, ""artist"")]}"
Turn it down to 20 percent,"{""entities"": [(16, 26, ""percent_of_total"")]}"
Wake me up at 6:30 for doctor appointment,"{""entities"": [(14, 18, ""time""), (23, 41, ""label"")]}"
No need for noon alarm anymore,"{""entities"": [(12, 16, ""time"")]}"
Can you put on Smells Like Teen Spirit?,"{""entities"": [(15, 38, ""song"")]}"
Volume 0%,"{""entities"": [(7, 9, ""percent_of_total"")]}"
Schedule alarm birthday at 14:00,"{""entities"": [(27, 32, ""time""), (15, 23, ""label"")]}"
No need for in 30 minutes alarm anymore,"{""entities"": [(12, 25, ""time"")]}"
I'd like to hear Uptown Funk from Adele,"{""entities"": [(17, 28, ""song""), (34, 39, ""artist"")]}"
Volume 20 percent,"{""entities"": [(7, 17, ""percent_of_total"")]}"
Wake me up at 7:00 AM for meeting,"{""entities"": [(14, 21, ""time""), (26, 33, ""label"")]}"
Cancel my alarm for 6:30 called morning workout,"{""entities"": [(20, 24, ""time""), (32, 47, ""label"")]}"
"Hey, play Rolling in the Deep","{""entities"": [(10, 29, ""song"")]}"
Set an alarm for midnight labeled meditation,"{""entities"": [(17, 25, ""time""), (34, 44, ""label"")]}"
Set an alarm for at 5 PM labeled call with mom,"{""entities"": [(17, 24, ""time""), (33, 46, ""label"")]}"
Delete the yoga alarm,"{""entities"": [(11, 15, ""label"")]}"
I'd like to hear Let It Go from The Beatles,"{""entities"": [(17, 26, ""song""), (32, 43, ""artist"")]}"
Wake me up at at 5 PM for meeting,"{""entities"": [(14, 21, ""time""), (26, 33, ""label"")]}"
Delete the take meds alarm,"{""entities"": [(11, 20, ""label"")]}"
Turn it down to mute,"{""entities"": [(16, 20, ""percent_of_total"")]}"
Alarm for at 5 PM with note school,"{""entities"": [(10, 17, ""time""), (28, 34, ""label"")]}"
No need for 7:00 AM alarm anymore,"{""entities"": [(12, 19, ""time"")]}"
I'd like to hear Rolling in the Deep from Queen,"{""entities"": [(17, 36, ""song""), (42, 47, ""artist"")]}"
Drop it to max,"{""entities"": [(11, 14, ""percent_of_total"")]}"
Put an alarm for meditation at 10:15 PM,"{""entities"": [(31, 39, ""time""), (17, 27, ""label"")]}"
Get rid of the alarm set for in 30 minutes,"{""entities"": [(29, 42, ""time"")]}"
Turn on the track Someone Like You,"{""entities"": [(18, 34, ""song"")]}"
Adjust sound to 0%,"{""entities"": [(16, 18, ""percent_of_total"")]}"
Put an alarm for call with mom at in 30 minutes,"{""entities"": [(34, 47, ""time""), (17, 30, ""label"")]}"
Don't wake me up for meditation,"{""entities"": [(21, 31, ""label"")]}"
How about playing Smells Like Teen Spirit by Queen?,"{""entities"": [(18, 41, ""song""), (45, 50, ""artist"")]}"
Increase the volume to max,"{""entities"": [(23, 26, ""percent_of_total"")]}"
Put an alarm for project deadline at next Monday at 6,"{""entities"": [(37, 53, ""time""), (17, 33, ""label"")]}"
Get rid of the alarm set for 10:15 PM,"{""entities"": [(29, 37, ""time"")]}"
How about playing Rolling in the Deep by Guns N' Roses?,"{""entities"": [(18, 37, ""song""), (41, 54, ""artist"")]}"
Set volume to 20 percent,"{""entities"": [(14, 24, ""percent_of_total"")]}"
Create a take meds alarm at 5 in the morning,"{""entities"": [(28, 44, ""time""), (9, 18, ""label"")]}"
Turn off my birthday reminder at 5 in the morning,"{""entities"": [(33, 49, ""time""), (12, 20, ""label"")]}"
I'd like to hear Despacito from Bruno Mars,"{""entities"": [(17, 26, ""song""), (32, 42, ""artist"")]}"
Volume 50%,"{""entities"": [(7, 10, ""percent_of_total"")]}"
Wake me up at 5 in the morning for meeting,"{""entities"": [(14, 30, ""time""), (35, 42, ""label"")]}"
Don't wake me up for morning workout,"{""entities"": [(21, 36, ""label"")]}"
Make it 0%,"{""entities"": [(8, 10, ""percent_of_total"")]}"
Alarm for midnight with note doctor appointment,"{""entities"": [(10, 18, ""time""), (29, 47, ""label"")]}"
Turn off my meditation reminder at in 2 hours,"{""entities"": [(35, 45, ""time""), (12, 22, ""label"")]}"
Queue up Stairway to Heaven,"{""entities"": [(9, 27, ""song"")]}"
Please change the volume to mute,"{""entities"": [(28, 32, ""percent_of_total"")]}"
Wake me up at next Monday at 6 for doctor appointment,"{""entities"": [(14, 30, ""time""), (35, 53, ""label"")]}"
Turn on the track Blinding Lights,"{""entities"": [(18, 33, ""song"")]}"
Adjust sound to 30%,"{""entities"": [(16, 19, ""percent_of_total"")]}"
Put an alarm for meditation at 14:00,"{""entities"": [(31, 36, ""time""), (17, 27, ""label"")]}"
Remove alarm meeting at noon,"{""entities"": [(24, 28, ""time""), (13, 20, ""label"")]}"
Turn on the track Hotel California,"{""entities"": [(18, 34, ""song"")]}"
Alarm for in 2 hours with note meditation,"{""entities"": [(10, 20, ""time""), (31, 41, ""label"")]}"
Cancel my alarm for tomorrow 5 AM called school,"{""entities"": [(20, 33, ""time""), (41, 47, ""label"")]}"
Play Stairway to Heaven by Luis Fonsi,"{""entities"": [(5, 23, ""song""), (27, 37, ""artist"")]}"
Set my alarm at 5 in the morning - call it meeting,"{""entities"": [(16, 32, ""time""), (43, 50, ""label"")]}"
Remove alarm school at next Monday at 6,"{""entities"": [(23, 39, ""time""), (13, 19, ""label"")]}"
"Hey, play Blinding Lights","{""entities"": [(10, 25, ""song"")]}"
Drop it to 100,"{""entities"": [(11, 14, ""percent_of_total"")]}"
Alarm for 6:30 with note take meds,"{""entities"": [(10, 14, ""time""), (25, 34, ""label"")]}"
Delete the school alarm,"{""entities"": [(11, 17, ""label"")]}"
Wake me up at 5 in the morning for meditation,"{""entities"": [(14, 30, ""time""), (35, 45, ""label"")]}"
I'd like to hear Hotel California from Led Zeppelin,"{""entities"": [(17, 33, ""song""), (39, 51, ""artist"")]}"
Turn it down to 75%,"{""entities"": [(16, 19, ""percent_of_total"")]}"
Set my alarm at 14:00 - call it take meds,"{""entities"": [(16, 21, ""time""), (32, 41, ""label"")]}"
Scrap the take meds alarm at 6:30,"{""entities"": [(29, 33, ""time""), (10, 19, ""label"")]}"
Play Uptown Funk by Eagles,"{""entities"": [(5, 16, ""song""), (20, 26, ""artist"")]}"
Set volume to 30%,"{""entities"": [(14, 17, ""percent_of_total"")]}"
Schedule alarm take meds at 10:15 PM,"{""entities"": [(28, 36, ""time""), (15, 24, ""label"")]}"
Delete the project deadline alarm,"{""entities"": [(11, 27, ""label"")]}"
Play Bad Guy by Nirvana,"{""entities"": [(5, 12, ""song""), (16, 23, ""artist"")]}"
Put an alarm for call with mom at tomorrow 5 AM,"{""entities"": [(34, 47, ""time""), (17, 30, ""label"")]}"
Remove alarm take meds at noon,"{""entities"": [(26, 30, ""time""), (13, 22, ""label"")]}"
Queue up Someone Like You,"{""entities"": [(9, 25, ""song"")]}"
Alarm for next Monday at 6 with note birthday,"{""entities"": [(10, 26, ""time""), (37, 45, ""label"")]}"
Play Sweet Child O' Mine by Taylor Swift,"{""entities"": [(5, 24, ""song""), (28, 40, ""artist"")]}"
Adjust sound to 10,"{""entities"": [(16, 18, ""percent_of_total"")]}"
Set an alarm for tomorrow 5 AM labeled take meds,"{""entities"": [(17, 30, ""time""), (39, 48, ""label"")]}"
Remove alarm take meds at tomorrow 5 AM,"{""entities"": [(26, 39, ""time""), (13, 22, ""label"")]}"
I'd like to hear Sweet Child O' Mine from Eagles,"{""entities"": [(17, 36, ""song""), (42, 48, ""artist"")]}"
Adjust sound to mute,"{""entities"": [(16, 20, ""percent_of_total"")]}"
Create a morning workout alarm at midnight,"{""entities"": [(34, 42, ""time""), (9, 24, ""label"")]}"
Remove alarm birthday at midnight,"{""entities"": [(25, 33, ""time""), (13, 21, ""label"")]}"
Can you put on Bohemian Rhapsody?,"{""entities"": [(15, 32, ""song"")]}"
Please change the volume to max,"{""entities"": [(28, 31, ""percent_of_total"")]}"
Set my alarm at 5 in the morning - call it yoga,"{""entities"": [(16, 32, ""time""), (43, 47, ""label"")]}"
Turn off my birthday reminder at tomorrow 5 AM,"{""entities"": [(33, 46, ""time""), (12, 20, ""label"")]}"
Start Luis Fonsi's Hotel California,"{""entities"": [(19, 35, ""song""), (6, 16, ""artist"")]}"
Please change the volume to 50%,"{""entities"": [(28, 31, ""percent_of_total"")]}"
Alarm for 7:00 AM with note morning workout,"{""entities"": [(10, 17, ""time""), (28, 43, ""label"")]}"
Cancel my alarm for tomorrow 5 AM called doctor appointment,"{""entities"": [(20, 33, ""time""), (41, 59, ""label"")]}"
Start John Legend's Let It Go,"{""entities"": [(20, 29, ""song""), (6, 17, ""artist"")]}"
Turn it down to 10,"{""entities"": [(16, 18, ""percent_of_total"")]}"
Put an alarm for doctor appointment at 5 in the morning,"{""entities"": [(39, 55, ""time""), (17, 35, ""label"")]}"
No need for 6:30 alarm anymore,"{""entities"": [(12, 16, ""time"")]}"
Volume 30%,"{""entities"": [(7, 10, ""percent_of_total"")]}"
Remind me at tomorrow 5 AM for call with mom,"{""entities"": [(13, 26, ""time""), (31, 44, ""label"")]}"
Don't wake me up for take meds,"{""entities"": [(21, 30, ""label"")]}"
Put an alarm for meditation at 6:30,"{""entities"": [(31, 35, ""time""), (17, 27, ""label"")]}"
Remove alarm birthday at tomorrow 5 AM,"{""entities"": [(25, 38, ""time""), (13, 21, ""label"")]}"
Please play something from Queen,"{""entities"": [(27, 32, ""artist"")]}"
Drop it to mute,"{""entities"": [(11, 15, ""percent_of_total"")]}"
Set my alarm at 14:00 - call it yoga,"{""entities"": [(16, 21, ""time""), (32, 36, ""label"")]}"
Remove alarm yoga at tomorrow 5 AM,"{""entities"": [(21, 34, ""time""), (13, 17, ""label"")]}"
How about playing Let It Go by The Weeknd?,"{""entities"": [(18, 27, ""song""), (31, 41, ""artist"")]}"
Turn it down to max,"{""entities"": [(16, 19, ""percent_of_total"")]}"
Put an alarm for take meds at in 2 hours,"{""entities"": [(30, 40, ""time""), (17, 26, ""label"")]}"
Turn off my project deadline reminder at 10:15 PM,"{""entities"": [(41, 49, ""time""), (12, 28, ""label"")]}"
Increase the volume to 10,"{""entities"": [(23, 25, ""percent_of_total"")]}"
Create a birthday alarm at in 2 hours,"{""entities"": [(27, 37, ""time""), (9, 17, ""label"")]}"
Get rid of the alarm set for tomorrow 5 AM,"{""entities"": [(29, 42, ""time"")]}"
I'd like to hear Stairway to Heaven from Bruno Mars,"{""entities"": [(17, 35, ""song""), (41, 51, ""artist"")]}"
Wake me up at in 30 minutes for birthday,"{""entities"": [(14, 27, ""time""), (32, 40, ""label"")]}"
Cancel my alarm for tomorrow 5 AM called meeting,"{""entities"": [(20, 33, ""time""), (41, 48, ""label"")]}"
I'd like to hear Blinding Lights from John Legend,"{""entities"": [(17, 32, ""song""), (38, 49, ""artist"")]}"
Set an alarm for at 5 PM labeled meditation,"{""entities"": [(17, 24, ""time""), (33, 43, ""label"")]}"
Cancel my alarm for at 5 PM called school,"{""entities"": [(20, 27, ""time""), (35, 41, ""label"")]}"
Wake me up at 6:30 for take meds,"{""entities"": [(14, 18, ""time""), (23, 32, ""label"")]}"
I'd like to hear Blinding Lights from Idina Menzel,"{""entities"": [(17, 32, ""song""), (38, 50, ""artist"")]}"
Can you set the sound level to 0%?,"{""entities"": [(31, 33, ""percent_of_total"")]}"
Put an alarm for doctor appointment at 7:00 AM,"{""entities"": [(39, 46, ""time""), (17, 35, ""label"")]}"
Start Taylor Swift's Sweet Child O' Mine,"{""entities"": [(21, 40, ""song""), (6, 18, ""artist"")]}"
Put an alarm for birthday at in 30 minutes,"{""entities"": [(29, 42, ""time""), (17, 25, ""label"")]}"
Increase the volume to 100,"{""entities"": [(23, 26, ""percent_of_total"")]}"
Set my alarm at 5 in the morning - call it school,"{""entities"": [(16, 32, ""time""), (43, 49, ""label"")]}"
Turn off my doctor appointment reminder at 7:00 AM,"{""entities"": [(43, 50, ""time""), (12, 30, ""label"")]}"
Play Stairway to Heaven by Idina Menzel,"{""entities"": [(5, 23, ""song""), (27, 39, ""artist"")]}"
Create a yoga alarm at 6:30,"{""entities"": [(23, 27, ""time""), (9, 13, ""label"")]}"
Don't wake me up for call with mom,"{""entities"": [(21, 34, ""label"")]}"
Drop it to 50%,"{""entities"": [(11, 14, ""percent_of_total"")]}"
Schedule alarm school at in 2 hours,"{""entities"": [(25, 35, ""time""), (15, 21, ""label"")]}"
Start Led Zeppelin's Bad Guy,"{""entities"": [(21, 28, ""song""), (6, 18, ""artist"")]}"
Can you set the sound level to mute?,"{""entities"": [(31, 35, ""percent_of_total"")]}"
Schedule alarm call with mom at 10:15 PM,"{""entities"": [(32, 40, ""time""), (15, 28, ""label"")]}"
How about playing Let It Go by Eagles?,"{""entities"": [(18, 27, ""song""), (31, 37, ""artist"")]}"
Remind me at in 2 hours for meeting,"{""entities"": [(13, 23, ""time""), (28, 35, ""label"")]}"
Get rid of the alarm set for noon,"{""entities"": [(29, 33, ""time"")]}"
Play Someone Like You by John Legend,"{""entities"": [(5, 21, ""song""), (25, 36, ""artist"")]}"
Alarm for tomorrow 5 AM with note meditation,"{""entities"": [(10, 23, ""time""), (34, 44, ""label"")]}"
Cancel my alarm for noon called school,"{""entities"": [(20, 24, ""time""), (32, 38, ""label"")]}"
Set my alarm at 14:00 - call it call with mom,"{""entities"": [(16, 21, ""time""), (32, 45, ""label"")]}"
I'd like to hear Blinding Lights from Guns N' Roses,"{""entities"": [(17, 32, ""song""), (38, 51, ""artist"")]}"
Turn it down to 100,"{""entities"": [(16, 19, ""percent_of_total"")]}"
Alarm for in 30 minutes with note project deadline,"{""entities"": [(10, 23, ""time""), (34, 50, ""label"")]}"
Start Eminem's Blinding Lights,"{""entities"": [(15, 30, ""song""), (6, 12, ""artist"")]}"
Wake me up at midnight for yoga,"{""entities"": [(14, 22, ""time""), (27, 31, ""label"")]}"
Scrap the yoga alarm at tomorrow 5 AM,"{""entities"": [(24, 37, ""time""), (10, 14, ""label"")]}"
Play All of Me by Queen,"{""entities"": [(5, 14, ""song""), (18, 23, ""artist"")]}"
Cancel my alarm for 7:00 AM called call with mom,"{""entities"": [(20, 27, ""time""), (35, 48, ""label"")]}"
"Hey, play Sweet Child O' Mine","{""entities"": [(10, 29, ""song"")]}"
Can you set the sound level to 10?,"{""entities"": [(31, 33, ""percent_of_total"")]}"
Wake me up at in 2 hours for school,"{""entities"": [(14, 24, ""time""), (29, 35, ""label"")]}"
Please play something from Nirvana,"{""entities"": [(27, 34, ""artist"")]}"
Volume mute,"{""entities"": [(7, 11, ""percent_of_total"")]}"
Set my alarm at in 30 minutes - call it morning workout,"{""entities"": [(16, 29, ""time""), (40, 55, ""label"")]}"
Turn off my project deadline reminder at 6:30,"{""entities"": [(41, 45, ""time""), (12, 28, ""label"")]}"
How about playing Uptown Funk by Eagles?,"{""entities"": [(18, 29, ""song""), (33, 39, ""artist"")]}"
Remind me at next Monday at 6 for morning workout,"{""entities"": [(13, 29, ""time""), (34, 49, ""label"")]}"
Turn on the track Yesterday,"{""entities"": [(18, 27, ""song"")]}"
Can you set the sound level to 30%?,"{""entities"": [(31, 34, ""percent_of_total"")]}"
Remove alarm school at noon,"{""entities"": [(23, 27, ""time""), (13, 19, ""label"")]}"
I'd like to hear Stairway to Heaven from Queen,"{""entities"": [(17, 35, ""song""), (41, 46, ""artist"")]}"
Schedule alarm doctor appointment at 5 in the morning,"{""entities"": [(37, 53, ""time""), (15, 33, ""label"")]}"
Cancel my alarm for next Monday at 6 called meeting,"{""entities"": [(20, 36, ""time""), (44, 51, ""label"")]}"
How about playing Yesterday by Eagles?,"{""entities"": [(18, 27, ""song""), (31, 37, ""artist"")]}"
Set an alarm for 7:00 AM labeled meditation,"{""entities"": [(17, 24, ""time""), (33, 43, ""label"")]}"
Scrap the call with mom alarm at 10:15 PM,"{""entities"": [(33, 41, ""time""), (10, 23, ""label"")]}"
Put an alarm for birthday at at 5 PM,"{""entities"": [(29, 36, ""time""), (17, 25, ""label"")]}"
Cancel my alarm for 14:00 called take meds,"{""entities"": [(20, 25, ""time""), (33, 42, ""label"")]}"
"Hey, play Yesterday","{""entities"": [(10, 19, ""song"")]}"
Remind me at tomorrow 5 AM for meditation,"{""entities"": [(13, 26, ""time""), (31, 41, ""label"")]}"
No need for tomorrow 5 AM alarm anymore,"{""entities"": [(12, 25, ""time"")]}"
How about playing Bad Guy by Billie Eilish?,"{""entities"": [(18, 25, ""song""), (29, 42, ""artist"")]}"
I'd like to hear Stairway to Heaven from Idina Menzel,"{""entities"": [(17, 35, ""song""), (41, 53, ""artist"")]}"
Schedule alarm meeting at midnight,"{""entities"": [(26, 34, ""time""), (15, 22, ""label"")]}"
Remove alarm call with mom at 10:15 PM,"{""entities"": [(30, 38, ""time""), (13, 26, ""label"")]}"
I'd like to hear Hotel California from Adele,"{""entities"": [(17, 33, ""song""), (39, 44, ""artist"")]}"
Cancel my alarm for 10:15 PM called doctor appointment,"{""entities"": [(20, 28, ""time""), (36, 54, ""label"")]}"
How about playing Let It Go by Taylor Swift?,"{""entities"": [(18, 27, ""song""), (31, 43, ""artist"")]}"
Increase the volume to 0%,"{""entities"": [(23, 25, ""percent_of_total"")]}"
Set my alarm at next Monday at 6 - call it meditation,"{""entities"": [(16, 32, ""time""), (43, 53, ""label"")]}"
Scrap the birthday alarm at 5 in the morning,"{""entities"": [(28, 44, ""time""), (10, 18, ""label"")]}"
Can you set the sound level to max?,"{""entities"": [(31, 34, ""percent_of_total"")]}"
Remind me at 14:00 for project deadline,"{""entities"": [(13, 18, ""time""), (23, 39, ""label"")]}"
Scrap the school alarm at 10:15 PM,"{""entities"": [(26, 34, ""time""), (10, 16, ""label"")]}"
Start The Weeknd's Uptown Funk,"{""entities"": [(19, 30, ""song""), (6, 16, ""artist"")]}"
Set my alarm at 10:15 PM - call it morning workout,"{""entities"": [(16, 24, ""time""), (35, 50, ""label"")]}"
Cancel my alarm for next Monday at 6 called birthday,"{""entities"": [(20, 36, ""time""), (44, 52, ""label"")]}"
How about playing Yesterday by Queen?,"{""entities"": [(18, 27, ""song""), (31, 36, ""artist"")]}"
Please change the volume to 75%,"{""entities"": [(28, 31, ""percent_of_total"")]}"
Create a call with mom alarm at in 2 hours,"{""entities"": [(32, 42, ""time""), (9, 22, ""label"")]}"
Can you put on Someone Like You?,"{""entities"": [(15, 31, ""song"")]}"
Turn it down to 0%,"{""entities"": [(16, 18, ""percent_of_total"")]}"
Remind me at 7:00 AM for meditation,"{""entities"": [(13, 20, ""time""), (25, 35, ""label"")]}"
Get rid of the alarm set for in 2 hours,"{""entities"": [(29, 39, ""time"")]}"
Drop it to 10,"{""entities"": [(11, 13, ""percent_of_total"")]}"
Wake me up at in 30 minutes for school,"{""entities"": [(14, 27, ""time""), (32, 38, ""label"")]}"
Get rid of the alarm set for 6:30,"{""entities"": [(29, 33, ""time"")]}"
Queue up Smells Like Teen Spirit,"{""entities"": [(9, 32, ""song"")]}"
Set my alarm at 7:00 AM - call it take meds,"{""entities"": [(16, 23, ""time""), (34, 43, ""label"")]}"
I'd like to hear Lose Yourself from Taylor Swift,"{""entities"": [(17, 30, ""song""), (36, 48, ""artist"")]}"
Remind me at tomorrow 5 AM for project deadline,"{""entities"": [(13, 26, ""time""), (31, 47, ""label"")]}"
Get rid of the alarm set for at 5 PM,"{""entities"": [(29, 36, ""time"")]}"
Start Adele's Uptown Funk,"{""entities"": [(14, 25, ""song""), (6, 11, ""artist"")]}"
Set volume to 0%,"{""entities"": [(14, 16, ""percent_of_total"")]}"
Wake me up at 7:00 AM for take meds,"{""entities"": [(14, 21, ""time""), (26, 35, ""label"")]}"
Cancel my alarm for midnight called take meds,"{""entities"": [(20, 28, ""time""), (36, 45, ""label"")]}"
Please play something from Eminem,"{""entities"": [(27, 33, ""artist"")]}"
Schedule alarm meditation at 14:00,"{""entities"": [(29, 34, ""time""), (15, 25, ""label"")]}"
I'd like to hear Let It Go from Led Zeppelin,"{""entities"": [(17, 26, ""song""), (32, 44, ""artist"")]}"
Schedule alarm doctor appointment at 6:30,"{""entities"": [(37, 41, ""time""), (15, 33, ""label"")]}"
No need for 14:00 alarm anymore,"{""entities"": [(12, 17, ""time"")]}"
Can you put on All of Me?,"{""entities"": [(15, 24, ""song"")]}"
Remind me at noon for doctor appointment,"{""entities"": [(13, 17, ""time""), (22, 40, ""label"")]}"
Scrap the take meds alarm at in 2 hours,"{""entities"": [(29, 39, ""time""), (10, 19, ""label"")]}"
Please change the volume to 0%,"{""entities"": [(28, 30, ""percent_of_total"")]}"
Set my alarm at noon - call it doctor appointment,"{""entities"": [(16, 20, ""time""), (31, 49, ""label"")]}"
Don't wake me up for project deadline,"{""entities"": [(21, 37, ""label"")]}"
Can you put on Despacito?,"{""entities"": [(15, 24, ""song"")]}"
Wake me up at tomorrow 5 AM for morning workout,"{""entities"": [(14, 27, ""time""), (32, 47, ""label"")]}"
I'd like to hear Rolling in the Deep from Eminem,"{""entities"": [(17, 36, ""song""), (42, 48, ""artist"")]}"
Wake me up at 14:00 for yoga,"{""entities"": [(14, 19, ""time""), (24, 28, ""label"")]}"
