input_sentence,annotations
Set a daily alarm for tomorrow 5 AM labeled gym,"{'entities': [(22, 35, 'time'), (44, 47, 'label')]}"
Set an alarm for tomorrow 5 AM,"{'entities': [(17, 30, 'time')]}"
Wake me up at 6:30,"{'entities': [(14, 18, 'time')]}"
Wake me up at 14:00,"{'entities': [(14, 19, 'time')]}"
Wake me up at tomorrow 5 AM,"{'entities': [(14, 27, 'time')]}"
Wake me up at 14:00,"{'entities': [(14, 19, 'time')]}"
Alarm at 6:30 called gym,"{'entities': [(9, 13, 'time'), (21, 24, 'label')]}"
Wake me up at 7:00 AM,"{'entities': [(14, 21, 'time')]}"
Set a daily alarm for 14:00 labeled work,"{'entities': [(22, 27, 'time'), (36, 40, 'label')]}"
Alarm at 6:30 called school,"{'entities': [(9, 13, 'time'), (21, 27, 'label')]}"
Alarm at 7:00 AM called gym,"{'entities': [(9, 16, 'time'), (24, 27, 'label')]}"
Alarm at tomorrow 5 AM called gym,"{'entities': [(9, 22, 'time'), (30, 33, 'label')]}"
Set a daily alarm for 14:00 labeled meeting,"{'entities': [(22, 27, 'time'), (36, 43, 'label')]}"
Stop the music,{'entities': []}
Turn off the music,{'entities': []}
Stop playing,{'entities': []}
End the music,{'entities': []}
Stop the music,{'entities': []}
Turn off the music,{'entities': []}
Stop playing,{'entities': []}
End the music,{'entities': []}
Stop the music,{'entities': []}
Turn off the music,{'entities': []}
Stop playing,{'entities': []}
End the music,{'entities': []}
Stop the music,{'entities': []}
Turn off the music,{'entities': []}
Stop playing,{'entities': []}
End the music,{'entities': []}
Stop the music,{'entities': []}
Turn off the music,{'entities': []}
Stop playing,{'entities': []}
End the music,{'entities': []}
Stop the music,{'entities': []}
Turn off the music,{'entities': []}
Stop playing,{'entities': []}
End the music,{'entities': []}
Stop the music,{'entities': []}
Turn off the music,{'entities': []}
Stop the alarm,{'entities': []}
Turn off the alarm,{'entities': []}
Silence it,{'entities': []}
Make the alarm stop,{'entities': []}
Stop the alarm,{'entities': []}
Turn off the alarm,{'entities': []}
Silence it,{'entities': []}
Make the alarm stop,{'entities': []}
Stop the alarm,{'entities': []}
Turn off the alarm,{'entities': []}
Silence it,{'entities': []}
Make the alarm stop,{'entities': []}
Stop the alarm,{'entities': []}
Turn off the alarm,{'entities': []}
Silence it,{'entities': []}
Make the alarm stop,{'entities': []}
Stop the alarm,{'entities': []}
Turn off the alarm,{'entities': []}
Silence it,{'entities': []}
Make the alarm stop,{'entities': []}
Stop the alarm,{'entities': []}
Turn off the alarm,{'entities': []}
Silence it,{'entities': []}
Make the alarm stop,{'entities': []}
Stop the alarm,{'entities': []}
Turn off the alarm,{'entities': []}
Silence it,{'entities': []}
Make the alarm stop,{'entities': []}
Stop the alarm,{'entities': []}
Turn off the alarm,{'entities': []}
Silence it,{'entities': []}
Make the alarm stop,{'entities': []}
Cancel all alarms,{'entities': []}
Remove the alarm set at tomorrow,"{'entities': [(24, 32, 'time')]}"
Cancel the alarm called gym,"{'entities': [(24, 27, 'label')]}"
Cancel all alarms,{'entities': []}
Remove the alarm set at Monday,"{'entities': [(24, 30, 'time')]}"
Remove the alarm set at 7:30,"{'entities': [(24, 28, 'time')]}"
Cancel all alarms,{'entities': []}
Cancel the alarm called gym,"{'entities': [(24, 27, 'label')]}"
Remove the alarm set at 7:30,"{'entities': [(24, 28, 'time')]}"
Remove the alarm set at 6 AM,"{'entities': [(24, 28, 'time')]}"
Cancel the alarm called gym,"{'entities': [(24, 27, 'label')]}"
Cancel the alarm called gym,"{'entities': [(24, 27, 'label')]}"
Cancel my alarm for 6 AM,"{'entities': [(20, 24, 'time')]}"
Cancel the alarm called work,"{'entities': [(24, 28, 'label')]}"
Cancel my alarm for Monday,"{'entities': [(20, 26, 'time')]}"
Cancel my alarm for 6 AM,"{'entities': [(20, 24, 'time')]}"
Cancel all alarms,{'entities': []}
Cancel the alarm called work,"{'entities': [(24, 28, 'label')]}"
Cancel the alarm called work,"{'entities': [(24, 28, 'label')]}"
Cancel the alarm called gym,"{'entities': [(24, 27, 'label')]}"
Cancel all alarms,{'entities': []}
Cancel the alarm called gym,"{'entities': [(24, 27, 'label')]}"
Remove the alarm set at 6 AM,"{'entities': [(24, 28, 'time')]}"
Cancel my alarm for 6 AM,"{'entities': [(20, 24, 'time')]}"
Remove the alarm set at 6 AM,"{'entities': [(24, 28, 'time')]}"
Remove the alarm set at 7:30,"{'entities': [(24, 28, 'time')]}"
Cancel my alarm for 7:30,"{'entities': [(20, 24, 'time')]}"
Remove the alarm set at 6 AM,"{'entities': [(24, 28, 'time')]}"
Cancel the alarm called school,"{'entities': [(24, 30, 'label')]}"
Cancel all alarms,{'entities': []}
What alarms do I have?,{'entities': []}
When's my next alarm?,{'entities': []}
List all alarms,{'entities': []}
Do I have any alarms set?,{'entities': []}
What alarms do I have?,{'entities': []}
When's my next alarm?,{'entities': []}
List all alarms,{'entities': []}
Do I have any alarms set?,{'entities': []}
What alarms do I have?,{'entities': []}
When's my next alarm?,{'entities': []}
List all alarms,{'entities': []}
Do I have any alarms set?,{'entities': []}
What alarms do I have?,{'entities': []}
When's my next alarm?,{'entities': []}
List all alarms,{'entities': []}
Do I have any alarms set?,{'entities': []}
What alarms do I have?,{'entities': []}
When's my next alarm?,{'entities': []}
List all alarms,{'entities': []}
Do I have any alarms set?,{'entities': []}
What alarms do I have?,{'entities': []}
When's my next alarm?,{'entities': []}
List all alarms,{'entities': []}
Do I have any alarms set?,{'entities': []}
What alarms do I have?,{'entities': []}
When's my next alarm?,{'entities': []}
List all alarms,{'entities': []}
Do I have any alarms set?,{'entities': []}
What alarms do I have?,{'entities': []}
When's my next alarm?,{'entities': []}
List all alarms,{'entities': []}
Do I have any alarms set?,{'entities': []}
What alarms do I have?,{'entities': []}
When's my next alarm?,{'entities': []}
List all alarms,{'entities': []}
Do I have any alarms set?,{'entities': []}
What alarms do I have?,{'entities': []}
Pause the music,{'entities': []}
Hold the song,{'entities': []}
Pause this track,{'entities': []}
Put the music on hold,{'entities': []}
Pause the music,{'entities': []}
Hold the song,{'entities': []}
Pause this track,{'entities': []}
Put the music on hold,{'entities': []}
Pause the music,{'entities': []}
Hold the song,{'entities': []}
Pause this track,{'entities': []}
Put the music on hold,{'entities': []}
Pause the music,{'entities': []}
Hold the song,{'entities': []}
Pause this track,{'entities': []}
Put the music on hold,{'entities': []}
Pause the music,{'entities': []}
Hold the song,{'entities': []}
Pause this track,{'entities': []}
Put the music on hold,{'entities': []}
Pause the music,{'entities': []}
Hold the song,{'entities': []}
Pause this track,{'entities': []}
Put the music on hold,{'entities': []}
Pause the music,{'entities': []}
Hold the song,{'entities': []}
Pause this track,{'entities': []}
Put the music on hold,{'entities': []}
Pause the music,{'entities': []}
Resume music,{'entities': []}
Keep playing,{'entities': []}
Continue the song,{'entities': []}
Play again,{'entities': []}
Resume music,{'entities': []}
Keep playing,{'entities': []}
Continue the song,{'entities': []}
Play again,{'entities': []}
Resume music,{'entities': []}
Keep playing,{'entities': []}
Continue the song,{'entities': []}
Play again,{'entities': []}
Resume music,{'entities': []}
Keep playing,{'entities': []}
Continue the song,{'entities': []}
Play again,{'entities': []}
Resume music,{'entities': []}
Keep playing,{'entities': []}
Continue the song,{'entities': []}
Play again,{'entities': []}
Resume music,{'entities': []}
Keep playing,{'entities': []}
Continue the song,{'entities': []}
Play again,{'entities': []}
Resume music,{'entities': []}
Keep playing,{'entities': []}
Continue the song,{'entities': []}
Play again,{'entities': []}
Resume music,{'entities': []}
Keep playing,{'entities': []}
Continue the song,{'entities': []}
Play again,{'entities': []}
Resume music,{'entities': []}
Keep playing,{'entities': []}
Continue the song,{'entities': []}
Play again,{'entities': []}
Resume music,{'entities': []}
Keep playing,{'entities': []}
Continue the song,{'entities': []}
Play again,{'entities': []}
Resume music,{'entities': []}
Keep playing,{'entities': []}
What time is it?,"{'entities': [(0, 16, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
What's the weather today?,"{'entities': [(0, 25, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
Tell me a joke,"{'entities': [(0, 14, 'original_message')]}"
What's the weather today?,"{'entities': [(0, 25, 'original_message')]}"
What time is it?,"{'entities': [(0, 16, 'original_message')]}"
What time is it?,"{'entities': [(0, 16, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
Tell me a joke,"{'entities': [(0, 14, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
What time is it?,"{'entities': [(0, 16, 'original_message')]}"
What's the weather today?,"{'entities': [(0, 25, 'original_message')]}"
Tell me a joke,"{'entities': [(0, 14, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
Tell me a joke,"{'entities': [(0, 14, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
What's the weather today?,"{'entities': [(0, 25, 'original_message')]}"
What time is it?,"{'entities': [(0, 16, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
What time is it?,"{'entities': [(0, 16, 'original_message')]}"
What's the weather today?,"{'entities': [(0, 25, 'original_message')]}"
Tell me a joke,"{'entities': [(0, 14, 'original_message')]}"
Tell me a joke,"{'entities': [(0, 14, 'original_message')]}"
Tell me a joke,"{'entities': [(0, 14, 'original_message')]}"
What's the weather today?,"{'entities': [(0, 25, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
What's the weather today?,"{'entities': [(0, 25, 'original_message')]}"
What's the weather today?,"{'entities': [(0, 25, 'original_message')]}"
Tell me a joke,"{'entities': [(0, 14, 'original_message')]}"
Tell me a joke,"{'entities': [(0, 14, 'original_message')]}"
What's the weather today?,"{'entities': [(0, 25, 'original_message')]}"
Open the door,"{'entities': [(0, 13, 'original_message')]}"
